Date,Canada,United Kingdom,United States
07/10/2022,0,0,0
08/10/2022,0,0,0
09/10/2022,0,0,0
10/10/2022,0,0,0
11/10/2022,0,0,0
12/10/2022,0,1,0
13/10/2022,0,0,0
14/10/2022,0,0,0
15/10/2022,0,0,0
16/10/2022,0,0,0
17/10/2022,0,0,0
18/10/2022,0,0,0
19/10/2022,0,0,2
20/10/2022,0,0,0
21/10/2022,0,0,0
22/10/2022,0,0,0
23/10/2022,0,0,0
24/10/2022,0,0,0
25/10/2022,0,0,2
26/10/2022,0,0,0
27/10/2022,0,0,0
28/10/2022,0,0,0
29/10/2022,0,0,0
30/10/2022,0,0,2
31/10/2022,0,0,2
01/11/2022,0,0,0
02/11/2022,1,0,3
03/11/2022,0,0,0
04/11/2022,0,0,0
05/11/2022,0,0,0
06/11/2022,0,0,0
